# {'participant': '001', 'session': 'baseline', 'date': '2021_Oct_15_1450', 'expName': 'FT-RSG tACS', 'frameRate': 60.0107002687789}
subj,trial,time,stimulus,response
001,0,0.0015090630,stimulus,
001,0,0.6143344210,tap,l
001,1,0.7502471590,stimulus,
001,1,1.3153740010,tap,l
001,2,1.5003521270,stimulus,
001,2,2.2444635170,tap,l
001,3,2.2506471130,stimulus,
001,3,2.9805734990,tap,s
001,4,3.0006598440,stimulus,
001,4,3.2435053010,tap,s
001,5,3.7507759400,stimulus,
001,5,3.7586293910,tap,l
001,6,4.5009075350,stimulus,
001,6,4.5393749930,tap,s
001,6,5.2387107580,tap,s
001,7,5.2511224360,stimulus,
001,8,6.0011541070,stimulus,
001,8,6.0522800630,tap,l
001,9,6.7512695930,stimulus,
001,9,6.7956132730,tap,l
001,10,7.5013833020,stimulus,
001,10,7.6182962990,tap,l
001,10,8.2120005240,tap,s
001,11,8.2514708580,stimulus,
001,11,8.9866577670,tap,s
001,12,9.0018048530,stimulus,
001,13,9.7518818060,stimulus,
001,13,9.7750715010,tap,s
001,14,10.5019749090,stimulus,
001,14,10.5231336990,tap,s
001,15,11.2520541590,stimulus,
001,15,11.2585356570,tap,s
001,16,12.0021751490,stimulus,
001,16,12.0059340050,tap,s
001,16,12.6997966870,tap,l
001,17,12.7522281030,stimulus,
001,18,13.5023397500,stimulus,
001,18,13.5268600510,tap,l
001,19,14.2524370880,stimulus,
001,19,14.2619904990,tap,s
001,19,14.9247825980,tap,l
001,20,15.0026036970,stimulus,
001,21,15.7526565390,stimulus,
001,21,15.7849396940,tap,s
001,21,16.4759530290,tap,s
001,22,16.5028069700,stimulus,
001,22,17.2060635260,tap,s
001,23,17.2529423950,stimulus,
001,23,17.9605861290,tap,l
001,24,18.0030674700,stimulus,
001,25,18.7531709910,stimulus,
001,25,18.8028852970,tap,l
001,26,19.5032652870,stimulus,
001,26,19.5363038040,tap,s
001,27,20.2533774120,stimulus,
001,27,20.2744125120,tap,l
001,28,21.0034596800,stimulus,
001,28,21.0544620620,tap,s
001,29,21.7535382720,stimulus,
001,29,21.7787081640,tap,l
001,30,22.5036629340,stimulus,
001,30,22.5585800610,tap,s
001,30,23.2568309640,tap,l
001,31,23.2574426760,stimulus,
001,32,24.0075262240,stimulus,
001,32,24.0444441810,tap,s
001,33,24.7576436940,stimulus,
001,33,24.8185405750,tap,s
001,34,25.5077810930,stimulus,
001,34,25.5372067330,tap,s
001,34,26.2588877840,tap,l
001,35,26.2595401950,stimulus,
001,36,27.0095527410,stimulus,
001,36,27.0766021550,tap,s
001,36,27.7053429220,tap,l
001,37,27.7596502750,stimulus,
001,37,28.4990636490,tap,l
001,38,28.5097173200,stimulus,
001,38,29.2574070120,tap,l
001,39,29.2599098030,stimulus,
001,40,30.0099582840,stimulus,
001,40,30.0289789520,tap,s
001,40,30.7263756070,tap,l
001,41,30.7600709560,stimulus,
001,42,31.5101701630,stimulus,
001,42,31.5344079870,tap,s
001,42,32.2625380410,tap,l
001,43,32.2630434540,stimulus,
001,44,33.0130653180,stimulus,
001,44,33.0499940320,tap,l
001,45,33.7631696010,stimulus,
001,45,33.7860445880,tap,s
001,45,34.4828411220,tap,l
001,46,34.5132955690,stimulus,
001,47,35.2634079280,stimulus,
001,47,35.2843037760,tap,s
001,47,35.6156126950,tap,l
001,48,36.0135191200,stimulus,
001,48,36.0517557760,tap,l
001,49,36.7636282150,stimulus,
001,49,36.8034036130,tap,s
001,50,37.5137098470,stimulus,
001,50,37.5696944390,tap,s
001,51,38.2638107450,stimulus,
001,51,38.2732249690,tap,l
001,52,39.0139399290,stimulus,
001,52,39.0315907290,tap,l
001,52,39.7205955780,tap,l
001,53,50.5988751370,probe_task,0
001,53,77.2818053340,probe_confidence,4
001,54,81.0651684620,stimulus,
001,54,81.8166620670,tap,l
001,55,81.8169861990,stimulus,
001,55,82.5316449760,tap,l
001,56,82.5670723770,stimulus,
001,56,82.9706953490,tap,l
001,57,83.3172046720,stimulus,
001,57,83.3733048830,tap,l
001,57,84.0064232580,tap,l
001,58,84.0673021590,stimulus,
001,58,84.7884959900,tap,s
001,59,84.8174462880,stimulus,
001,59,85.5577619180,tap,s
001,60,85.5675657660,stimulus,
001,61,86.3176557830,stimulus,
001,61,86.3414100920,tap,s
001,61,86.9568169270,tap,l
001,62,87.0677505530,stimulus,
001,62,87.7600301550,tap,s
001,63,87.8178654580,stimulus,
001,64,88.5679961020,stimulus,
001,64,88.5714586520,tap,l
001,64,89.2939473820,tap,l
001,65,89.3180800290,stimulus,
001,66,90.0682154490,stimulus,
001,66,90.0881335430,tap,s
001,66,90.7369206550,tap,l
001,67,90.8183028500,stimulus,
001,68,91.5683982800,stimulus,
001,68,91.5729625570,tap,s
001,68,92.2799972590,tap,l
001,69,92.3185014320,stimulus,
001,69,92.9866537910,tap,l
001,70,93.0686410240,stimulus,
001,70,93.6877577980,tap,l
001,71,93.8187355950,stimulus,
001,71,94.5101130870,tap,l
001,72,94.5688142780,stimulus,
001,73,95.3189032130,stimulus,
001,73,95.3838914790,tap,l
001,73,96.0359720040,tap,s
001,74,96.0690114150,stimulus,
001,74,96.2675436150,tap,s
001,75,96.8191216080,stimulus,
001,75,96.8618314510,tap,s
001,76,97.5692050620,stimulus,
001,76,97.6049592960,tap,s
001,76,97.8335543750,tap,l
001,76,98.2866013400,tap,l
001,77,98.3193395970,stimulus,
001,78,99.0694181810,stimulus,
001,78,99.1798346720,tap,l
001,78,99.8177227540,tap,s
001,79,99.8195532610,stimulus,
